# Source: KKBox WSDM Churn Prediction Challenge
fold,scorer,period_start,precision
0,random,2015-08-18,0.0
0,random,2015-08-25,0.08
0,random,2015-09-01,0.04
0,random,2015-09-08,0.02
0,random,2015-09-15,0.0
0,random,2015-09-22,0.04
0,random,2015-09-29,0.02
0,random,2015-10-06,0.06
0,random,2015-10-13,0.0
0,random,2015-10-20,0.0
0,random,2015-10-27,0.02
0,random,2015-11-03,0.04
0,random,2015-11-10,0.04
0,random,2015-11-17,0.06
0,random,2015-11-24,0.0
0,random,2015-12-01,0.04
0,random,2015-12-08,0.02
0,random,2015-12-15,0.04
0,random,2015-12-22,0.02
0,random,2015-12-29,0.04
0,revenue,2015-08-18,0.12
0,revenue,2015-08-25,0.1
0,revenue,2015-09-01,0.1
0,revenue,2015-09-08,0.14
0,revenue,2015-09-15,0.1
0,revenue,2015-09-22,0.08
0,revenue,2015-09-29,0.08
0,revenue,2015-10-06,0.06
0,revenue,2015-10-13,0.06
0,revenue,2015-10-20,0.04
0,revenue,2015-10-27,0.06
0,revenue,2015-11-03,0.08
0,revenue,2015-11-10,0.1
0,revenue,2015-11-17,0.18
0,revenue,2015-11-24,0.16
0,revenue,2015-12-01,0.14
0,revenue,2015-12-08,0.14
0,revenue,2015-12-15,0.1
0,revenue,2015-12-22,0.12
0,revenue,2015-12-29,0.1
0,logistic_finance,2015-08-18,0.14
0,logistic_finance,2015-08-25,0.1
0,logistic_finance,2015-09-01,0.04
0,logistic_finance,2015-09-08,0.08
0,logistic_finance,2015-09-15,0.12
0,logistic_finance,2015-09-22,0.24
0,logistic_finance,2015-09-29,0.12
0,logistic_finance,2015-10-06,0.1
0,logistic_finance,2015-10-13,0.16
0,logistic_finance,2015-10-20,0.22
0,logistic_finance,2015-10-27,0.2
0,logistic_finance,2015-11-03,0.18
0,logistic_finance,2015-11-10,0.22
0,logistic_finance,2015-11-17,0.1
0,logistic_finance,2015-11-24,0.1
0,logistic_finance,2015-12-01,0.16
0,logistic_finance,2015-12-08,0.16
0,logistic_finance,2015-12-15,0.28
0,logistic_finance,2015-12-22,0.3
0,logistic_finance,2015-12-29,0.16
0,logistic,2015-08-18,0.2
0,logistic,2015-08-25,0.14
0,logistic,2015-09-01,0.16
0,logistic,2015-09-08,0.14
0,logistic,2015-09-15,0.2
0,logistic,2015-09-22,0.24
0,logistic,2015-09-29,0.1
0,logistic,2015-10-06,0.04
0,logistic,2015-10-13,0.12
0,logistic,2015-10-20,0.18
0,logistic,2015-10-27,0.16
0,logistic,2015-11-03,0.14
0,logistic,2015-11-10,0.16
0,logistic,2015-11-17,0.1
0,logistic,2015-11-24,0.1
0,logistic,2015-12-01,0.16
0,logistic,2015-12-08,0.16
0,logistic,2015-12-15,0.24
0,logistic,2015-12-22,0.24
0,logistic,2015-12-29,0.2
0,logistic_tuned_finance,2015-08-18,0.14
0,logistic_tuned_finance,2015-08-25,0.1
0,logistic_tuned_finance,2015-09-01,0.06
0,logistic_tuned_finance,2015-09-08,0.08
0,logistic_tuned_finance,2015-09-15,0.12
0,logistic_tuned_finance,2015-09-22,0.26
0,logistic_tuned_finance,2015-09-29,0.16
0,logistic_tuned_finance,2015-10-06,0.08
0,logistic_tuned_finance,2015-10-13,0.16
0,logistic_tuned_finance,2015-10-20,0.22
0,logistic_tuned_finance,2015-10-27,0.2
0,logistic_tuned_finance,2015-11-03,0.18
0,logistic_tuned_finance,2015-11-10,0.24
0,logistic_tuned_finance,2015-11-17,0.12
0,logistic_tuned_finance,2015-11-24,0.06
0,logistic_tuned_finance,2015-12-01,0.28
0,logistic_tuned_finance,2015-12-08,0.22
0,logistic_tuned_finance,2015-12-15,0.26
0,logistic_tuned_finance,2015-12-22,0.28
0,logistic_tuned_finance,2015-12-29,0.16
0,logistic_tuned,2015-08-18,0.12
0,logistic_tuned,2015-08-25,0.08
0,logistic_tuned,2015-09-01,0.08
0,logistic_tuned,2015-09-08,0.08
0,logistic_tuned,2015-09-15,0.12
0,logistic_tuned,2015-09-22,0.22
0,logistic_tuned,2015-09-29,0.14
0,logistic_tuned,2015-10-06,0.04
0,logistic_tuned,2015-10-13,0.12
0,logistic_tuned,2015-10-20,0.2
0,logistic_tuned,2015-10-27,0.16
0,logistic_tuned,2015-11-03,0.12
0,logistic_tuned,2015-11-10,0.16
0,logistic_tuned,2015-11-17,0.1
0,logistic_tuned,2015-11-24,0.12
0,logistic_tuned,2015-12-01,0.18
0,logistic_tuned,2015-12-08,0.14
0,logistic_tuned,2015-12-15,0.26
0,logistic_tuned,2015-12-22,0.26
0,logistic_tuned,2015-12-29,0.2
0,xgboost_finance,2015-08-18,0.4
0,xgboost_finance,2015-08-25,0.38
0,xgboost_finance,2015-09-01,0.38
0,xgboost_finance,2015-09-08,0.3
0,xgboost_finance,2015-09-15,0.24
0,xgboost_finance,2015-09-22,0.26
0,xgboost_finance,2015-09-29,0.36
0,xgboost_finance,2015-10-06,0.32
0,xgboost_finance,2015-10-13,0.4
0,xgboost_finance,2015-10-20,0.46
0,xgboost_finance,2015-10-27,0.36
0,xgboost_finance,2015-11-03,0.34
0,xgboost_finance,2015-11-10,0.32
0,xgboost_finance,2015-11-17,0.26
0,xgboost_finance,2015-11-24,0.26
0,xgboost_finance,2015-12-01,0.3
0,xgboost_finance,2015-12-08,0.32
0,xgboost_finance,2015-12-15,0.3
0,xgboost_finance,2015-12-22,0.36
0,xgboost_finance,2015-12-29,0.44
0,xgboost,2015-08-18,0.34
0,xgboost,2015-08-25,0.38
0,xgboost,2015-09-01,0.38
0,xgboost,2015-09-08,0.3
0,xgboost,2015-09-15,0.28
0,xgboost,2015-09-22,0.4
0,xgboost,2015-09-29,0.36
0,xgboost,2015-10-06,0.34
0,xgboost,2015-10-13,0.36
0,xgboost,2015-10-20,0.28
0,xgboost,2015-10-27,0.3
0,xgboost,2015-11-03,0.24
0,xgboost,2015-11-10,0.22
0,xgboost,2015-11-17,0.22
0,xgboost,2015-11-24,0.14
0,xgboost,2015-12-01,0.24
0,xgboost,2015-12-08,0.3
0,xgboost,2015-12-15,0.24
0,xgboost,2015-12-22,0.3
0,xgboost,2015-12-29,0.38
1,random,2016-01-05,0.0
1,random,2016-01-12,0.0
1,random,2016-01-19,0.0
