# SIMULATED DATA (Jeu synthetique genere localement). No performance figure holds here.
fold,scorer,period_start,precision
0,random,2024-09-17,0.0
0,random,2024-09-24,0.0
0,random,2024-10-01,0.0
0,random,2024-10-08,0.02
0,random,2024-10-15,0.02
0,random,2024-10-22,0.04
0,random,2024-10-29,0.04
0,random,2024-11-05,0.04
0,random,2024-11-12,0.02
0,random,2024-11-19,0.02
0,random,2024-11-26,0.04
0,random,2024-12-03,0.02
0,random,2024-12-10,0.0
0,random,2024-12-17,0.0
0,random,2024-12-24,0.0
0,random,2024-12-31,0.0
0,random,2025-01-07,0.0
0,random,2025-01-14,0.0
0,random,2025-01-21,0.0
0,random,2025-01-28,0.0
0,random,2025-02-04,0.0
0,random,2025-02-11,0.0
0,random,2025-02-18,0.0
0,random,2025-02-25,0.0
0,revenue,2024-09-17,0.0
0,revenue,2024-09-24,0.0
0,revenue,2024-10-01,0.0
0,revenue,2024-10-08,0.02
0,revenue,2024-10-15,0.02
0,revenue,2024-10-22,0.04
0,revenue,2024-10-29,0.04
0,revenue,2024-11-05,0.04
0,revenue,2024-11-12,0.02
0,revenue,2024-11-19,0.04
0,revenue,2024-11-26,0.04
0,revenue,2024-12-03,0.02
0,revenue,2024-12-10,0.0
0,revenue,2024-12-17,0.0
0,revenue,2024-12-24,0.0
0,revenue,2024-12-31,0.0
0,revenue,2025-01-07,0.0
0,revenue,2025-01-14,0.0
0,revenue,2025-01-21,0.0
0,revenue,2025-01-28,0.0
0,revenue,2025-02-04,0.0
0,revenue,2025-02-11,0.0
0,revenue,2025-02-18,0.0
0,revenue,2025-02-25,0.0
0,logistic,2024-09-17,0.0
0,logistic,2024-09-24,0.0
0,logistic,2024-10-01,0.0
0,logistic,2024-10-08,0.02
0,logistic,2024-10-15,0.0
0,logistic,2024-10-22,0.04
0,logistic,2024-10-29,0.04
0,logistic,2024-11-05,0.04
0,logistic,2024-11-12,0.02
0,logistic,2024-11-19,0.04
0,logistic,2024-11-26,0.04
0,logistic,2024-12-03,0.0
0,logistic,2024-12-10,0.0
0,logistic,2024-12-17,0.0
0,logistic,2024-12-24,0.0
0,logistic,2024-12-31,0.0
0,logistic,2025-01-07,0.0
0,logistic,2025-01-14,0.0
0,logistic,2025-01-21,0.0
0,logistic,2025-01-28,0.0
0,logistic,2025-02-04,0.0
0,logistic,2025-02-11,0.0
0,logistic,2025-02-18,0.0
0,logistic,2025-02-25,0.0
0,xgboost,2024-09-17,0.0
0,xgboost,2024-09-24,0.0
0,xgboost,2024-10-01,0.0
0,xgboost,2024-10-08,0.02
0,xgboost,2024-10-15,0.02
0,xgboost,2024-10-22,0.04
0,xgboost,2024-10-29,0.04
0,xgboost,2024-11-05,0.04
0,xgboost,2024-11-12,0.02
0,xgboost,2024-11-19,0.04
0,xgboost,2024-11-26,0.04
0,xgboost,2024-12-03,0.02
0,xgboost,2024-12-10,0.0
0,xgboost,2024-12-17,0.0
0,xgboost,2024-12-24,0.0
0,xgboost,2024-12-31,0.0
0,xgboost,2025-01-07,0.0
0,xgboost,2025-01-14,0.0
0,xgboost,2025-01-21,0.0
0,xgboost,2025-01-28,0.0
0,xgboost,2025-02-04,0.0
0,xgboost,2025-02-11,0.0
0,xgboost,2025-02-18,0.0
0,xgboost,2025-02-25,0.0
1,random,2025-03-04,0.0
1,random,2025-03-11,0.0
1,random,2025-03-18,0.0
1,random,2025-03-25,0.0
1,random,2025-04-01,0.0
1,random,2025-04-08,0.0
1,random,2025-04-15,0.0
1,random,2025-04-22,0.0
1,random,2025-04-29,0.0
1,random,2025-05-06,0.06
1,random,2025-05-13,0.02
1,random,2025-05-20,0.02
1,random,2025-05-27,0.04
1,random,2025-06-03,0.04
1,random,2025-06-10,0.02
1,random,2025-06-17,0.04
1,random,2025-06-24,0.02
1,random,2025-07-01,0.0
1,random,2025-07-08,0.02
1,random,2025-07-15,0.02
